(-0.1547752042426949, 358, 0)
(-0.15490186595757763, 357, 0)
(-0.1552666099211928, 356, 0)
(-0.15590136857636022, 355, 0)
(-0.15681095586645785, 354, 0)
(-0.15806582908269995, 353, 0)
(-0.15949258888951537, 352, 0)
(-0.16095216415909283, 351, 0)
(-0.1623757988790702, 350, 0)
(-0.16374370360050336, 349, 0)
(-0.16503097933382493, 348, 0)
(-0.16635234999915693, 347, 0)
(-0.16782478152242386, 346, 0)
(-0.1695404236728509, 345, 0)
(-0.17156170674604318, 344, 0)
(-0.17386825860712637, 343, 0)
(-0.17651477095052093, 342, 0)
(-0.17934516727545172, 341, 0)
(-0.18219055865175227, 340, 0)
(-0.18498930470133737, 339, 0)
(-0.18774221901048563, 338, 0)
(-0.1904333254643922, 337, 0)
(-0.1930805479627005, 336, 0)
(-0.19450883724847812, 30, 0)
