-0.15342452238114018, 2
-0.15342980414297247, 1
-0.15350303593166398, 0
-0.1535196174016189, 3
-0.1535551885727247, 13
-0.15356611914679769, 12
-0.153574673563494, 14
-0.15359491953898732, 11
-0.153615892906734, 4
-0.153621937756782, 15
-0.1536222414303649, 10
-0.15367143536608202, 9
-0.15368900433066374, 5
-0.15368919129893685, 16
-0.15373543432795653, 17
-0.15374946514776833, 8
-0.15376590307658863, 6
-0.153768434092422, 18
-0.1538069018111538, 19
-0.15381206769903394, 7
-0.1538501739901725, 20
-0.15391111373439173, 21
-0.1540195468409171, 22
-0.1541643762012713, 23
-0.1543209972210795, 24
-0.1544703607433561, 25
-0.15460661554068053, 26
-0.154714484993266, 27
-0.154835007460129, 28
-0.15491712766664698, 29
-0.1549951273645239, 30
-0.15503874473914697, 37
-0.15505685484302417, 31
-0.15506512450636462, 36
-0.15508148823320955, 32
-0.15508834887381956, 35
-0.15509132237225004, 33
-0.15510015558654128, 34
